N,E0,E1,gap,n_ph,nmax_used
5,-2.6794183164105556,-2.3431252898052337,0.3362930266053219,0.18974792044422328,16
6,-3.1842506160189252,-2.8647272142679014,0.3195234017510238,0.20673233240715996,16
7,-3.688247002824324,-3.382371749785838,0.30587525303848606,0.22208456510918886,16
8,-4.191639408269672,-3.89719841295372,0.2944409953159517,0.23615652826240194,16
9,-4.694576311712847,-4.409925531148374,0.28465078056447357,0.24919143046160952,16
10,-5.197158280855418,-4.921033377243878,0.27612490361153963,0.26136541536583646,20
11,-5.699456456829707,-5.4308579447328045,0.26859851209690255,0.2728107451112131,20
12,-6.201522934427046,-5.939642908055283,0.2618800263717631,0.2836296264602918,20
13,-6.703396951683181,-6.447570247746788,0.2558267039363926,0.29390291204384156,20
14,-7.205108763670046,-6.954779221946609,0.25032954172343747,0.30369581946810925,20
